date,portfolio_return,benchmark_return,turnover,portfolio_wealth,benchmark_wealth
2024-01-02,0.0000,0.0000,1.0000,1.0000,1.0000
2024-01-03,-0.0042,-0.0028,0.0000,0.9958,0.9972
2024-01-04,-0.0079,-0.0054,0.0000,0.9879,0.9918
2024-01-05,0.0025,0.0018,0.5000,0.9904,0.9936
2024-01-08,0.0210,0.0139,0.5000,1.0112,1.0074
2024-01-09,0.0036,0.0032,0.0000,1.0148,1.0106
2024-01-10,-0.0051,-0.0025,0.0000,1.0096,1.0081
2024-01-11,0.0127,0.0070,0.2500,1.0224,1.0152
2024-01-12,0.0062,0.0045,0.0000,1.0287,1.0198
2024-01-16,0.0047,0.0042,0.0000,1.0335,1.0241
