scope,symbol,metric,value
portfolio,ALL,cumulative_return,0.0335
portfolio,ALL,cagr,0.8500
portfolio,ALL,annualized_volatility,0.1850
portfolio,ALL,sharpe_ratio,1.2450
portfolio,ALL,max_drawdown,-0.0120
portfolio,ALL,hit_rate,0.6667
portfolio,ALL,average_daily_turnover,0.1500
asset,AAPL,cumulative_return,0.0210
asset,AAPL,cagr,0.5200
asset,AAPL,annualized_volatility,0.2420
asset,AAPL,sharpe_ratio,0.9700
asset,AAPL,max_drawdown,-0.0240
asset,AAPL,hit_rate,0.6000
asset,MSFT,cumulative_return,0.0185
asset,MSFT,cagr,0.4600
asset,MSFT,annualized_volatility,0.2180
asset,MSFT,sharpe_ratio,1.0300
asset,MSFT,max_drawdown,-0.0140
asset,MSFT,hit_rate,0.6000
asset,GOOGL,cumulative_return,0.0110
asset,GOOGL,cagr,0.2800
asset,GOOGL,annualized_volatility,0.2650
asset,GOOGL,sharpe_ratio,0.7200
asset,GOOGL,max_drawdown,-0.0300
asset,GOOGL,hit_rate,0.5000
asset,SPY,cumulative_return,0.0241
asset,SPY,cagr,0.6100
asset,SPY,annualized_volatility,0.1420
asset,SPY,sharpe_ratio,1.3500
asset,SPY,max_drawdown,-0.0090
asset,SPY,hit_rate,0.7000
