date,AAPL_close,AAPL_short_ma,AAPL_long_ma,AAPL_signal,MSFT_close,MSFT_short_ma,MSFT_long_ma,MSFT_signal,GOOGL_close,GOOGL_short_ma,GOOGL_long_ma,GOOGL_signal,SPY_close,SPY_short_ma,SPY_long_ma,SPY_signal
2024-01-02,185.64,184.20,182.75,1.0,370.87,368.10,365.90,1.0,138.17,137.20,136.10,1.0,472.65,470.30,468.90,1.0
2024-01-03,184.25,184.35,182.91,1.0,370.60,368.75,366.40,1.0,138.92,137.45,136.35,1.0,471.43,470.55,469.10,1.0
2024-01-04,181.91,184.10,183.05,1.0,367.94,368.95,366.85,1.0,136.39,137.30,136.55,1.0,468.30,470.40,469.35,1.0
2024-01-05,181.18,183.70,183.22,0.0,367.75,369.05,367.10,1.0,135.73,137.05,136.70,1.0,467.92,470.10,469.55,1.0
2024-01-08,185.56,183.95,183.30,1.0,374.69,369.85,367.80,1.0,138.84,137.60,136.95,1.0,474.60,470.95,469.90,1.0
2024-01-09,185.14,184.10,183.42,1.0,375.79,370.30,368.15,1.0,140.95,138.05,137.20,1.0,475.31,471.40,470.20,1.0
2024-01-10,186.19,184.45,183.60,1.0,382.77,371.20,368.70,1.0,142.28,138.70,137.50,1.0,476.56,471.95,470.55,1.0
2024-01-11,185.59,184.70,183.78,1.0,384.63,372.10,369.20,1.0,143.67,139.35,137.90,1.0,477.70,472.55,470.95,1.0
2024-01-12,185.92,184.95,183.95,1.0,388.47,373.15,369.85,1.0,144.24,140.05,138.35,1.0,478.86,473.20,471.40,1.0
2024-01-16,183.63,185.05,184.10,1.0,390.27,374.30,370.50,1.0,144.08,140.75,138.80,1.0,477.45,473.80,471.85,1.0
